阏#iêng1	iang1
掸#siêng6	siang6
返#huêng2	huang2
转#zuêng2	zuang2
转#ruêng2	ruang2
传#tuêng5	tuang5
丈#diên6	dion6
断#duêng6	duang6
断#duêng3	duang3
段#duêng6	duang6
塅#duêng6	duang6
椴#duêng6	duang6
簖#duêng6	duang6
𨑨#diêg4	diag4
𨑨#tig4	têg4
郅#diêg4	diag4
迭#diêg4	diag4
抶#diêg4	diag4
抶#tiêg4	tiag4
厔#diêg4	diag4
帙#diêg4	diag4
昳#diêg4	diag4
昳#ig8	êg8
垤#diêg4	diag4
绖#diêg4	diag4
咥#diêg4	diag4
桎#diêg4	diag4
轾#diêg4	diag4
哲#diêg4	diag4
秩#diêg4	diag4
瓞#diêg4	diag4
窒#diêg4	diag4
铚#diêg4	diag4
辄#diêg4	diag4
秷#diêg4	diag4
紩#diêg4	diag4
袠#diêg4	diag4
喆#diêg4	diag4
跌#diêg4	diag4
耋#diêg4	diag4
蛭#diêg4	diag4
蜇#diêg4	diag4
嵽#diêg8	diag8
嵽#diêg4	diag4
輙#diêg4	diag4
膣#diêg4	diag4
螫#diêg4	diag4
螲#diêg4	diag4
妷#ig8	êg8
妷#diêg8	diag8
侄#diêg8	diag8
姪#diêg8	diag8
珍#diêng1	diang1
珍#zing1	zêng1
珎#diêng1	diang1
傎#diêng1	diang1
滇#diêng1	diang1
滇#tiêng5	tiang5
瑱#diêng1	diang1
邅#ziêng1	ziang1
邅#diêng1	diang1
颠#diêng1	diang1
颠#ding1	dêng1
錱#diêng1	diang1
蹎#diêng1	diang1
巅#diêng1	diang1
癫#diêng1	diang1
攧#diêng1	diang1
典#diêng2	diang2
展#diêng2	diang2
捵#diêng2	diang2
淟#tiêng2	tiang2
淟#diêng2	diang2
腆#diêng2	diang2
腆#tiêng2	tiang2
觍#diêng2	diang2
搌#diêng2	diang2
碘#diêng2	diang2
辗#diêng2	diang2
碾#diêng2	diang2
靦#miêng2	miang2
靦#diêng2	diang2
蹍#diêng2	diang2
冁#diêng2	diang2
镇#ding3	dêng3
电#diêng6	diang6
甸#diêng6	diang6
垫#diêng6	diang6
淀#diêng6	diang6
奠#diêng6	diang6
臀#diêng6	diang6
驔#diêng6	diang6
刁#diou1	diao1
汈#diou1	diao1
叼#diou1	diao1
苕#tiou5	tiao5
苕#diou1	diao1
苕#siou6	siao6
岧#tiou5	tiao5
岧#diou1	diao1
凋#diou1	diao1
笤#tiou5	tiao5
笤#diou1	diao1
蛁#diou1	diao1
彫#diou1	diao1
琱#diou1	diao1
貂#diou1	diao1
碉#diou1	diao1
髫#diou1	diao1
髫#tiou5	tiao5
鲷#diou1	diao1
雕#diou1	diao1
鵰#diou1	diao1
屌#diou2	diao2
屌#diou3	diao3
弔#diou3	diao3
伄#diou3	diao3
吊#diou3	diao3
窎#diou3	diao3
𦰏#diou3	diao3
铞#diou3	diao3
条#diou5	diao5
蓨#diou5	diao5
鲦#tiou5	tiao5
鲦#diou5	diao5
召#diou6	diao6
召#siou6	siao6
兆#diou6	diao6
旐#diou6	diao6
鮡#diou6	diao6
调#tiou5	tiao5
调#diou7	diao7
调#tiou3	tiao3
掉#diou7	diao7
得#dig4	dêg4
淂#dig4	dêg4
锝#dig4	dêg4
嘚#dig4	dêg4
直#dig8	dêg8
靮#dig8	dêg8
缠#tiêng5	tiang5
振#zing2	zêng2
振#ding2	dêng2
鎭#ding3	dêng3
尘#ding5	dêng5
藤#ding5	dêng5
纼#ding6	dêng6
阵#ding7	dêng7
跳#tiou3	tiao3
跳#diê7	dio7
跳#diê5	dio5
潮#diê5	dio5
赵#diên6	dio6
着#diêh4	dioh4
着#diêh8	dioh8
著#diêh4	dioh4
鐯#diêh4	dioh4
张#diên1	dion1
张#diên3	dion3
帐#diên3	dion3
胀#diên3	dion3
钓#diên3	dion3
账#diên3	dion3
塲#diên5	dion5
繇#iou5	iao5
朵#do5	do2
垛#do2	do2
哚#do5	do2
躲#do5	do2
剁#do3	do3
萄#to5	do5
第#doin6	doi6
单#siêng6	siang6
单#siêng5	siang5
耑#zuêng1	zuang1
耑#duêng1	duang1
端#duêng1	duang1
煅#duêng3	duang3
锻#duêng3	duang3
碫#duêng3	duang3
沌#duêng6	duang6
彖#duêng6	duang6
瑑#duêng6	duang6
篆#duêng6	duang6
震#zing2	zêng2
奀#eng1	êng1
恩#eng1	êng1
摁#eng1	êng1
蒽#eng1	êng1
尹#ng2	êng2
隐#ng2	êng2
𦈠#ng2	êng2
䌥#ng2	êng2
吉#gig4	gêg4
伽#giê5	gio5
搅#giou2	giao2
窌#liou5	liao5
角#giêh4	gioh4
结#gig4	gêg4
脚#giêh4	gioh4
秸#giêg4	giag4
稭#giêg4	giag4
间#goin1	gain1
间#goin3	gain3
肩#goin1	gain1
茧#goin2	gain2
趼#goin2	gain2
裥#goin2	gain2
菅#guêng2	guang2
乾#kiêng5	kiang5,kêng5
囝#lam5	nam5
痫#hiêng5	hiang5
巾#geng1	gêng1
斤#geng1	gêng1
均#geng1	gêng1
钧#geng1	gêng1
觔#geng1	gêng1
根#geng1	gêng1
筋#geng1	gêng1
筠#geng1	gêng1
跟#geng1	gêng1
仅#geng2	gêng2
艮#geng3	gêng3
艮#geng2	gêng2
卺#geng2	gêng2
卷#guêng2	guang2
耿#geng2	gêng2
堇#geng2	gêng2
谨#geng2	gêng2
筦#guêng2	guang2
蓳#geng2	gêng2
管#guêng2	guang2
廑#ging2	gêng2
馑#geng2	gêng2
瑾#geng2	gêng2
槿#geng2	gêng2
殣#geng2	gêng2
亘#geng3	gêng3
茛#geng3	gêng3
哏#geng3	gêng1
睊#giêng3	giang3
靳#geng3	gêng3
觐#geng3	gêng3
近#geng6	gêng6
脘#uêng2	uang2
指#zoin2	zain2
偈#giêg8	giag8
茄#giê5	gio5
讦#giêg4	giag4
洁#giêg4	giag4
㛃#giêg4	giag4
恝#kiêg4	kiag4
恝#giêg4	giag4
桔#gig4	gêg4
戛#giêg4	giag4
袺#giêg4	giag4
絜#giêg4	giag4
鲒#giêg4	giag4
鲒#gig4	gêg4
碣#giêg4	giag4
碣#gig4	gêg4
羯#giêg4	giag4
黠#kiêg4	kiag4
黠#giêg4	giag4
䥛#giêg4	giag4
杰#giêg8	giag8
桀#giêg8	giag8
傑#giêg8	giag8
楬#giêg8	giag8
榤#giêg8	giag8
竭#giêg8	giag8
磔#giêg8	giag8
揭#gig4	gêg4
撅#kiêg4	kiag4
健#giêng6	giang6
坚#giêng1	giang1
姜#giên1	gion1
娟#giêng1	giang1
绢#giêng3	giang3
绢#giêng1	giang1
悭#giêng1	giang1
捐#giêng1	giang1
涓#giêng1	giang1
犍#giêng1	giang1
犍#kiêng5	kiang5
犍#giêng6	giang6
铿#giêng1	giang1
鹃#giêng1	giang1
蜎#giêng1	giang1
鲣#giêng1	giang1
蠲#giêng1	giang1
強#giên5	gion5
强#giên5	gion5
彊#giên5	gion5
瀽#giêng2	giang2
见#giêng3	giang3
建#giêng6	giang6
建#giêng3	giang3
狷#giêng3	giang3
鄄#giêng3	giang3
罥#giêng3	giang3
毽#giêng6	giang6
楗#giêng6	giang6
腱#giêng6	giang6
键#giêng6	giang6
踺#giêng6	giang6
鞬#giêng6	giang6
姣#giou1	giao1
娇#giou1	giao1
骄#giou1	giao1
矫#giou2	giao2
矫#giou1	giao1
憍#giou1	giao1
邀#hiou1	hiao1
邀#iou1	iao1
邀#giou1	giao1
挢#giou2	giao2
饺#giou2	giao2
敫#giou2	giao2
徼#hiou2	hiao2
徼#giou2	giao2
徼#giou3	giao3
缴#giou2	giao2
皦#giou2	giao2
屩#giou2	giao2
繑#giou2	giao2
撬#giou6	giao6
橇#kiou1	kiao1
橇#giou6	giao6
𠮷#gig4	gêg4
佶#gig4	gêg4
佶#kiêg4	kiag4
姞#gig4	gêg4
橘#gig4	gêg4
驈#gig4	gêg4
紧#ging2	gêng2
叫#giê3	gio3
呌#giê3	gio3
嘂#giê3	gio3
噭#giê3	gio3
桥#giê5	gio5
硚#giê5	gio5
鞒#kiou5	kiao5
鞒#giê5	gio5
藠#giê6	gio6
峤#giê7	gio7
峤#kiou5	kiao5
轿#giê7	gio7
薑#giên1	gion1
泂#giong2	guêng2
掮#kiêng5	kiang5
剐#guan2	gua2
寡#guan2	gua2
孓#guêg4	guag4
孓#kuêg4	kuag4
夬#guêg4	guag4
决#guêg4	guag4
诀#guêg4	guag4
抉#guêg4	guag4
決#guêg4	guag4
炔#guêg4	guag4
玦#guêg4	guag4
括#guêg4	guag4
砄#guêg4	guag4
䒷#guêg4	guag4
栝#guêg4	guag4
鸹#guêg4	guag4
觖#guêg4	guag4
筈#guêg4	guag4
聒#guêg4	guag4
蛞#guêg4	guag4
駃#guêg4	guag4
谲#guêg4	guag4
劀#guêg4	guag4
噊#guêg4	guag4
鴃#guêg4	guag4
鴂#guêg4	guag4
鐍#guêg4	guag4
渴#guah4	kuah4
鹳#guêng3	guang3
掼#guêng3	guang3
关#guêng1	guang1
观#guêng1	guang1
观#guêng3	guang3
纶#guêng1	guang1
冠#guêng1	guang1
冠#guêng3	guang3
矜#guêng1	guang1
瘝#guêng1	guang1
鳏#guêng1	guang1
關#guêng1	guang1
囧#guang2	kuêng2
诇#guang2	kuêng2
冏#guang2	kuêng2
迥#guang2	kuêng2
逈#guang2	kuêng2
帣#guêng2	guang2
帣#guêng3	guang3
炯#guang2	kuêng2
馆#guêng2	guang2
逭#guêng2	guang2
絅#guang2	kuêng2
捲#guêng2	guang2
琯#guêng2	guang2
锩#guêng2	guang2
痯#guêng2	guang2
輨#guêng2	guang2
館#guêng2	guang2
錧#guêng2	guang2
鳤#guêng2	guang2
毌#guêng3	guang3
丱#guêng3	guang3
贯#guêng3	guang3
券#guêng3	guang3
桊#guêng3	guang3
涫#guêng3	guang3
惯#guêng3	guang3
眷#guêng3	guang3
祼#guêng3	guang3
睠#guêng3	guang3
獧#guêng3	guang3
盥#guêng3	guang3
罆#guêng3	guang3
灌#guêng3	guang3
獾#huêng1	huang1
獾#guêng3	guang3
瓘#guêng3	guang3
颧#kuêng5	kuang5
颧#guêng3	guang3
罐#guêng3	guang3
鑵#guêng3	guang3
劵#guêng6	guang6
倦#guêng6	guang6
鄞#ngeng5	ngêng5
寱#ngi3	ghoi7
拮#kiêg4	kiag4
刭#gên3	gêng3
橛#kiêg4	kiag4
蹶#kiêg4	kiag4
乏#huêg8	huag8
哼#hng1	hêng1
蚬#hoin2	hain2
还#huêng5	huang5
苋#hoin6	hain6
番#huêng1	huang1
鸮#hiou1	hiao1
#hng1	hêng1
忻#hng1	hêng1
轩#hng1	hêng1
昕#hng1	hêng1
炘#hng1	hêng1
杴#hng1	hêng1
杴#hiêng1	hiang1
祆#hng1	hêng1
祆#siêng1	siang1
欣#hng1	hêng1
勋#hng1	hêng1
埙#hng1	hêng1
殷#hng1	hêng1
掀#hiêng1	hiang1
掀#hng1	hêng1
訢#hng1	hêng1
𣔙#hng1	hêng1
𣔙#hiêng1	hiang1
焮#hng1	hêng1
锨#hng1	hêng1
锨#hiêng1	hiang1
勲#hng1	hêng1
禤#hng1	hêng1
禤#hiêng1	hiang1
勳#hng1	hêng1
壎#hng1	heng1
醺#hng1	hêng1
佷#heng2	hêng2
很#heng2	hêng2
狠#hng2	hêng2
恨#heng6	hêng6
曳#ig8	êg8
叶#hiêh8	hioh8
连#liêng5	liang5
连#ling5	lêng5
颜#nguêng5	nguang5
燃#riêng5	riang5
乡#hiên1	hion1
香#hiên1	hion1
鶱#hiêng1	hiang1
显#hiêng2	hiang2
烜#hiêng2	hiang2
㬎#hiêng2	hiang2
幰#hiêng2	hiang2
櫶#hiêng2	hiang2
岘#hiêng3	hiang3
宪#hiêng3	hiang3
绚#hiêng3	hiang3
衅#hiêng3	hiang3
献#hiêng3	hiang3
谳#hiêng3	hiang3
舋#hiêng3	hiang3
甗#ngiêng2	ngiang2
甗#hiêng3	hiang3
巘#ngiêng2	ngiang2
巘#hiêng3	hiang3
玄#hiêng5	hiang5
泫#hiêng5	hiang5
贤#hiêng5	hiang5
炫#hiêng5	hiang5
痃#hiêng5	hiang5
眩#hiêng5	hiang5
铉#hiêng5	hiang5
娴#hiêng5	hiang5
蚿#hiêng5	hiang5
鹇#hiêng5	hiang5
现#hing7	hêng7
昡#hiêng7	hiang7
睍#hing7	hêng7
侥#hiou1	hiao1
侥#ngiou5	ngiao5
枭#hiou1	hiao1
哓#hiou1	hiao1
骁#hiou1	hiao1
晓#hiou2	hiao2
暁#hiou2	hiao2
嬲#niou2	niao2
嬲#hiou5	hiao5
肸#hig4	hêg4
页#hiêh8	hioh8
箬#hiêh8	hioh8
远#iêng2	iang2
或#hog8	huêg8
阈#hog8	huêg8
域#hog8	huêg8
惑#hog8	huêg8
棫#hog8	huêg8
蜮#hog8	huêg8
宏#hong5	kuêng5
泓#hong5	kuêng5
俛#miêng2	miang2
发#huêg4	huag4
髮#huêg4	huag4
穴#huêg8	huag8
伐#huêg8	huag8
茓#huêg8	huag8
茓#uêg8	uag8
阀#huêg8	huag8
垡#huêg8	huag8
罚#huêg8	huag8
筏#huêg8	huag8
越#uêg8	uag8
幻#huêng3	huam3
欢#huêng1	huang1
儇#huêng1	huang1
墦#huêng1	huang1
墦#puêng1	puang1
蕃#puêng1	puang1
蕃#huêng1	huang1
懁#huêng1	huang1
繙#puêng5	puang5
繙#huêng1	huang1
翻#huêng1	huang1
譞#huêng1	huang1
晅#huêng2	huang2
睆#huêng2	huang2
睆#uêng2	uang2
缓#huêng2	huang2
奂#huêng3	huang3
贩#huêng3	huang3
畈#huêng3	huang3
唤#huêng3	huang3
涣#huêng3	huang3
换#huêng3	huang3
焕#huêng3	huang3
痪#huêng3	huang3
嬎#huêng3	huang3
环#huêng5	huang5
郇#huêng5	huang5
矾#huêng5	huang5
荁#huêng5	huang5
洹#huêng5	huang5
垣#huêng5	huang5
桓#huêng5	huang5
烦#huêng5	huang5
萑#huêng5	huang5
貆#huêng5	huang5
锾#huêng5	huang5
衡#huang5	huêng5
圜#huêng5	huang5
缳#huêng5	huang5
澴#huêng5	huang5
寰#huêng5	huang5
擐#huêng5	huang5
嬛#huêng5	huang5
阛#huêng5	huang5
繁#huêng5	huang5
𤩽#huêng5	huang5
鹮#huêng5	huang5
镮#huêng5	huang5
翾#huêng5	huang5
蘅#huang5	huêng5
蘩#huêng5	huang5
蘩#puêng5	puang5
轘#huêng5	huang5
鷭#huêng5	huang5
鬟#huêng5	huang5
瓛#huêng5	huang5
宦#huêng6	huang6
豢#huêng6	huang6
晕#ing7	êng7
嘿#mig8	mêg8
赫#hêh4	hênh4
荥#iong5	uêng5
获#uag8	huêg8
矱#uag8	huêg8
忆#ig4	êg4
噎#ig4	êg4
曰#uêg4	iag4
约#iêh4	ioh4
约#iouh4	iaoh4
咽#ing1	êng1
咽#iêng3	iang3
咽#ig4	êg4
咽#iêg4	iag4
药#iêh8	ioh8
翼#sig8	sêg8
鸢#iêng1	iang1
鸯#iên1	ion1
渊#iêng1	iang1
渊#uêng1	uang1
焉#iêng1	iang1
焉#iêng7	iang7
鄢#iêng1	iang1
蔫#iêng1	iang1
嫣#iêng1	iang1
墕#iêng1	iang1
燕#iêng3	iang3
燕#iêng1	iang1
兖#iêng6	iang6
兖#iêng2	iang2
养#iên2	ion2
薳#iêng2	iang2
縯#iêng2	iang2
嬿#iêng3	iang3
纨#iêng5	iang5
纨#uêng5	uang5
阳#iên5	ion5
羊#iên5	ion5
延#iêng6	iang6
炀#iên5	ion5
杨#iên5	ion5
沿#ing5	êng5
昜#iên5	ion5
洋#iên5	ion5
垟#iê5	io5
烊#iên5	ion5
铅#ing5	êng5
媛#iêng5	iang5
媛#iêng6	iang6
湲#iêng5	iang5
演#ing5	êng5
廴#ing2	êng2
涎#iêng6	iang6
胤#iêng6	iang6
衍#iêng6	iang6
爰#iêng6	iang6
痒#ziên6	zion6
羡#iêng6	iang6
蜒#iêng6	iang6
筵#iêng6	iang6
援#iêng6	iang6
瑗#iêng6	iang6
漾#iên6	ion6
一#ig4	êg4
一#iou1	iao1
么#iou1	iao1
幺#iou1	iao1
夭#iou1	iao1
吆#iou1	iao1
妖#iou1	iao1
殀#iou1	iao1
要#iou3	iao3
要#iou1	iao1
枵#iou1	iao1
喓#iou1	iao1
窈#iou2	iao2
窔#iou3	iao3
崾#iou3	iao3
匋#iou5	iao5
轺#iou5	iao5
姚#iê5	io5
姚#iou5	iao5
珧#iou5	iao5
珧#iê5	io5
陶#iou5	iao5
铫#tiou3	tiao3
铫#iê5	io5
铫#iou5	iao5
谣#iou5	iao5
遥#iou5	iao5
揺#iou5	iao5
揺#iê5	io5
媱#iou5	iao5
徭#iou5	iao5
摇#iou5	iao5
摇#iê5	io5
摇#iê6	io6
猺#iou5	iao5
猺#iê5	io5
飖#iou5	iao5
瑤#iou5	iao5
瑶#iou5	iao5
鹞#iou5	iao5
鹞#iê7	io7
鳐#iê6	io6
鳐#iou5	iao5
曜#iou6	iao6
曜#iê7	io7
耀#iou6	iao6
乙#ig4	êg4
弌#ig4	êg4
钇#ig4	êg4
壱#ig4	êg4
壹#ig4	êg4
佚#ig8	êg8
佾#ig8	êg8
泆#ig8	êg8
呹#ig8	êg8
轶#ig8	êg8
逸#ig8	êg8
燚#ig8	êg8
丸#uêng5	uang5
夗#ug8	in6
院#in7	ngi7
砚#in7	ngi7
垸#uêng5	uang5
囙#ing1	êng1
因#ing1	êng1
𪜶#ing1	êng1
姻#ing1	êng1
骃#ing1	êng1
洇#ing1	êng1
洇#ing7	êng7
茵#ing1	êng1
氤#ing1	êng1
胭#ing1	êng1
烟#ing1	êng1
裀#ing1	êng1
铟#ing1	êng1
萦#iong5	uêng5
萦#ing1	êng1
湮#ing1	êng1
堙#ing1	êng1
甄#zing1	zêng1
甄#ing1	êng1
闉#ing1	êng1
引#ing2	êng2
蚓#ing2	êng2
瘾#ing2	êng2
瘾#ngiêng3	ngiang3
印#ing3	êng3
茚#ing3	êng3
鮣#ing3	êng3
埏#ing5	êng5
寅#ing5	êng5
夤#ing5	eng5
洕#ing7	êng7
腰#iê1	io1
舀#iê2	io2
窑#iê5	io5
蛘#iên5	ion5
溶#iên5	ion5
熔#iên5	ion5
样#iên7	ion7
永#iong2	uêng2
咏#iong3	uêng3
茔#iong5	uêng5
荣#iong5	uêng5
荧#iong5	uêng5
盈#iong5	uêng5
莹#iong5	uêng5
萤#iong5	uêng5
嵘#iong5	uêng5
滢#iong5	uêng5
蓥#iong5	uêng5
潆#iong5	uêng5
蝾#iong5	uêng5
嬴#iong5	uêng5
瀛#iong5	uêng5
